Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
DATA SCIENTIST H/F,DATA SCIENTIST H/F - LEVALLOIS-PERRET (92) - INDEED.FR,BNP Paribas Personal Finance,BNP Paribas Personal Finance,96.0,"4,0","4,0","3,9","3,6","3,6","3,8"
DÉVELOPPEUR C# MVC .NET,DÉVELOPPEUR C# MVC .NET - 69578 LIMONEST - INDEED.FR,LDLC,LDLC,7.0,"4,7","4,3","3,8","4,0","3,8","3,3"
RESPONSABLE INFORMATIQUE (H/F),RESPONSABLE INFORMATIQUE (H/F) - LYON (69) - INDEED.FR,Dimension RH,,,,,,,,
ANALYSTE CONCEPTEUR.NET/ SQL SERVER F/H,ANALYSTE CONCEPTEUR.NET/ SQL SERVER F/H - LYON 3E (69) - INDEED.FR,NODYA GROUP,,,,,,,,
FINANCIAL DATA ANALYST,FINANCIAL DATA ANALYST - NANTERRE (92) - INDEED.FR,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7"
ANALYSTE/DÉVELOPPEUR DÉCISIONNEL SQL (H/F),ANALYSTE/DÉVELOPPEUR DÉCISIONNEL SQL (H/F) - FRANCE - INDEED.FR,CORDON ELECTRONICS SAS,,,,,,,,
BUSINESS & DATA ANALYST (INTERN),BUSINESS & DATA ANALYST (INTERN) - PARIS (75) - INDEED.FR,Blade,BLADE,27.0,"5,0","4,6","4,6","5,0","4,9","5,0"
"INTERNSHIP - DATA ANALYST FRANCE, ANALYTICS","INTERNSHIP - DATA ANALYST FRANCE, ANALYTICS - PARIS (75) - INDEED.FR",Criteo,CRITEO,43.0,"4,0","3,9","3,9","3,1","2,9","4,0"
INGENIEUR D'ETUDE FULL STACK JAVA / ANGULAR F/H,INGENIEUR D'ETUDE FULL STACK JAVA / ANGULAR F/H - LYON 1ER (69) - INDEED.FR,INFORMATIS T.S.,,,,,,,,
INTERNSHIP - DATA ANALYST FRANCE,INTERNSHIP - DATA ANALYST FRANCE - PARIS (75) - INDEED.FR,Criteo,CRITEO,43.0,"4,0","3,9","3,9","3,1","2,9","4,0"
STAGE : ANALYSTE DÉVELOPPEUR BI (H/F),STAGE : ANALYSTE DÉVELOPPEUR BI (H/F) - RHÔNE - INDEED.FR,CGI,CGI Group,2.0,"3,7","3,7","3,5","3,3","3,3","3,5"
DATA ANALYST INTERN (H/F),DATA ANALYST INTERN (H/F) - PARIS 9E (75) - INDEED.FR,Teemo,,,,,,,,
DATA ANALYST BI H/F H/F,DATA ANALYST BI H/F H/F - 92100 BOULOGNE-BILLANCOURT - INDEED.FR,BVA Group,BVA Group,18.0,"3,8","3,7","3,7","3,2","3,9","3,8"
ECONOMIC AND FINANCIAL DATA ANALYST - (F/H) - STAGE,ECONOMIC AND FINANCIAL DATA ANALYST - (F/H) - STAGE - PARIS (75) - INDEED.FR,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7"
DATA ANALYST JUNIOR,DATA ANALYST JUNIOR - PARIS (75) - INDEED.FR,Feed,,,,,,,,
VIE - STRATEGY ANALYST - LONDRES - 12 MOIS - M/F,VIE - STRATEGY ANALYST - LONDRES - 12 MOIS - M/F - FRANCE - INDEED.FR,Natixis,Natixis,357.0,"3,9","3,9","3,8","3,4","3,6","3,7"
ASSISTANT(E) CUSTOMER DATA ANALYST (H/F),ASSISTANT(E) CUSTOMER DATA ANALYST (H/F) - HAUTS-DE-SEINE - INDEED.FR,AccorHotels,AccorHotels,2.0,"4,1","3,8","3,6","3,7","3,7","3,9"
DATA CONSULTANT ANALYST,DATA CONSULTANT ANALYST - PARIS (75) - INDEED.FR,Mon ami Français,,,,,,,,
CONTRACTOR - SENIOR STATISTICAL PROGRAMMER,CONTRACTOR - SENIOR STATISTICAL PROGRAMMER - FRANCE - INDEED.FR,Cytel,,,,,,,,
DATA ENGINEER/ DÉVELOPPEUR ODOO,DATA ENGINEER/ DÉVELOPPEUR ODOO - PARIS 2E (75) - INDEED.FR,Advise,,,,,,,,
SENIOR OPERATIONS ANALYST,SENIOR OPERATIONS ANALYST - PARIS (75) - INDEED.FR,Currency trading and market maker company,,,,,,,,
HUMAN RESOURCES DATA ANALYST,HUMAN RESOURCES DATA ANALYST - BOULOGNE-BILLANCOURT (92) - INDEED.FR,CWT,CWT,35.0,"3,4","3,5","2,8","2,9","3,3","3,2"
ECONOMIC AND FINANCIAL DATA ANALYST - (F/H) - INTERNSHIP,ECONOMIC AND FINANCIAL DATA ANALYST - (F/H) - INTERNSHIP - PARIS (75) - INDEED.FR,AXA General Insurance,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7"
ECONOMIC AND FINANCIAL DATA ANALYST - (F/H) - INTERNSHIP,ECONOMIC AND FINANCIAL DATA ANALYST - (F/H) - INTERNSHIP - PARIS (75) - INDEED.FR,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7"
DATA SCIENCE INTERNSHIP- EUROPEAN GAS MARKET ANALYST DESK,DATA SCIENCE INTERNSHIP- EUROPEAN GAS MARKET ANALYST DESK - COURBEVOIE (92) - INDEED.FR,ENGIE Global Markets - Paris La Défense,,,,,,,,
IDENTITY DATA ANALYST INTERNSHIP,IDENTITY DATA ANALYST INTERNSHIP - PARIS (75) - INDEED.FR,Criteo,CRITEO,43.0,"4,0","3,9","3,9","3,1","2,9","4,0"
6-MONTHS BIG DATA ANALYST INTERNSHIP,6-MONTHS BIG DATA ANALYST INTERNSHIP - PARIS (75) - INDEED.FR,Eurofins,Eurofins,739.0,"3,2","3,3","2,8","2,7","2,7","3,0"
OPERATIONS DATA ANALYST INTERN (PARIS),OPERATIONS DATA ANALYST INTERN (PARIS) - PARIS (75) - INDEED.FR,Stuart,Stuart,36.0,"3,5","3,6","3,1","2,8","3,1","3,2"
DATA ANALYST (H/F) - INTERNSHIP STARTING AFTER JUNE,DATA ANALYST (H/F) - INTERNSHIP STARTING AFTER JUNE - PARIS (75) - INDEED.FR,papernest,,,,,,,,
FLEET ANALYST - LOGISTIC COORDINATOR,FLEET ANALYST - LOGISTIC COORDINATOR - PARIS (75) - INDEED.FR,Ontruck,,,,,,,,
DATA ANALYST,DATA ANALYST - PARIS (75) - INDEED.FR,Aircall,,,,,,,,
